dt = 0.000010000000; N = 10; L(σ) = 8.000000 
Temps; Energie(ε); E_cin(ε); E_pot(ε); Temperature(ε/kb); Pression (ε/σ²)
0.300000; 99.793894; 103.394983; -3.601089; 10.339498; 1.579143
0.301000; 99.793894; 103.375022; -3.581127; 10.337502; 1.578344
0.302000; 99.793894; 103.354737; -3.560842; 10.335474; 1.577618
0.303000; 99.793894; 103.334245; -3.540351; 10.333425; 1.576951
0.304000; 99.793894; 103.313656; -3.519762; 10.331366; 1.576332
0.305000; 99.793894; 103.293071; -3.499177; 10.329307; 1.575747
0.306000; 99.793894; 103.272581; -3.478687; 10.327258; 1.575187
0.307000; 99.793894; 103.252273; -3.458379; 10.325227; 1.574641
0.308000; 99.793894; 103.232223; -3.438329; 10.323222; 1.574100
0.309000; 99.793894; 103.212502; -3.418608; 10.321250; 1.573555
0.310000; 99.793894; 103.193171; -3.399277; 10.319317; 1.572998
0.311000; 99.793894; 103.174288; -3.380394; 10.317429; 1.572424
0.312000; 99.793894; 103.155900; -3.362006; 10.315590; 1.571824
0.313000; 99.793894; 103.138050; -3.344155; 10.313805; 1.571194
0.314000; 99.793894; 103.120773; -3.326878; 10.312077; 1.570530
0.315000; 99.793894; 103.104098; -3.310204; 10.310410; 1.569826
0.316000; 99.793894; 103.088049; -3.294155; 10.308805; 1.569080
0.317000; 99.793894; 103.072644; -3.278749; 10.307264; 1.568289
0.318000; 99.793894; 103.057893; -3.263999; 10.305789; 1.567450
0.319000; 99.793894; 103.043805; -3.249910; 10.304380; 1.566563
0.320000; 99.793894; 103.030380; -3.236486; 10.303038; 1.565626
0.321000; 99.793894; 103.017616; -3.223722; 10.301762; 1.564639
0.322000; 99.793894; 103.005505; -3.211611; 10.300551; 1.563602
0.323000; 99.793894; 102.994037; -3.200143; 10.299404; 1.562515
0.324000; 99.793894; 102.983196; -3.189302; 10.298320; 1.561381
0.325000; 99.793894; 102.972965; -3.179071; 10.297297; 1.560199
0.326000; 99.793894; 102.963322; -3.169428; 10.296332; 1.558973
0.327000; 99.793894; 102.954244; -3.160349; 10.295424; 1.557704
0.328000; 99.793894; 102.945704; -3.151810; 10.294570; 1.556394
0.329000; 99.793894; 102.937675; -3.143781; 10.293768; 1.555048
0.330000; 99.793894; 102.930128; -3.136234; 10.293013; 1.553666
0.331000; 99.793894; 102.923033; -3.129139; 10.292303; 1.552254
0.332000; 99.793894; 102.916357; -3.122463; 10.291636; 1.550814
0.333000; 99.793894; 102.910069; -3.116175; 10.291007; 1.549349
