r h_AllPart g_AllPart h_OO g_OO h_SiO g_SiO h_SiSi g_SiSi
3.876553106212425 846.0 0.9133892514574102 180.0 0.1943381386079596 642.0 0.6931393610350559 24.0 0.025911751814394614
3.901402805611222 876.0 0.9337309658183159 198.0 0.2110487799452358 624.0 0.6651234277061976 54.0 0.05755875816688248
3.92625250501002 936.0 0.9850563854170622 276.0 0.29046534441785166 624.0 0.6567042569447081 36.0 0.03788678405450239
3.9511022044088175 1002.0 1.0412513197336266 246.0 0.25563655155136944 708.0 0.7357344654405267 48.0 0.049880302741730616
3.975951903807615 1008.0 1.0343929496659645 312.0 0.32016924632517946 642.0 0.6588097953229655 54.0 0.05541390801781952
4.000801603206413 1164.0 1.1796395341137977 336.0 0.3405145046926426 744.0 0.7539964032479943 84.0 0.08512862617316065
4.02565130260521 1152.0 1.1530651736381539 366.0 0.3663384145412885 732.0 0.732676829082577 54.0 0.05404993001428847
4.050501002004008 1086.0 1.0736668422177984 246.0 0.2432063012758549 780.0 0.771141930874662 60.0 0.05931861006728168
4.075350701402805 1086.0 1.0605735074086673 336.0 0.32813323986124515 702.0 0.6855640904243873 48.0 0.04687617712303502
4.1002004008016035 1068.0 1.0303527337970213 312.0 0.30100192223283767 672.0 0.6483118325014965 84.0 0.08103897906268706
4.125050100200401 1224.0 1.1666267151034797 372.0 0.3545630212569399 804.0 0.7663136265875797 48.0 0.045750067258959984
4.149899799599198 1242.0 1.1696061189900324 384.0 0.36161735079885055 744.0 0.700633617172773 114.0 0.10735515101840876
4.174749498997996 1326.0 1.2338444968733513 444.0 0.41314250121551127 798.0 0.7425399008332838 84.0 0.07816209482455619
4.199599198396793 1134.0 1.0427009914693854 372.0 0.34205006069366084 720.0 0.6620323755361177 42.0 0.03861855523960687
4.224448897795591 1242.0 1.1285706407634757 414.0 0.37619021358782523 726.0 0.6596958817989399 102.0 0.09268454537671056
4.249298597194389 1164.0 1.0453236728835524 390.0 0.3502373130795408 684.0 0.6142623644779638 90.0 0.08082399532604786
4.274148296593187 1206.0 1.0704481738442178 390.0 0.34616483233768236 720.0 0.6390735366234135 96.0 0.0852098048831218
4.298997995991984 1098.0 0.96332036617232 378.0 0.33163488015768394 636.0 0.5579888459795952 84.0 0.07369664003504087
4.323847695390781 1110.0 0.9626549211248355 378.0 0.3278230271938629 612.0 0.5307610916472066 120.0 0.104070802283766
4.348697394789579 1122.0 0.9619414145023499 372.0 0.3189324475890144 684.0 0.5864241778249619 66.0 0.05658478908837352
4.3735470941883765 1296.0 1.098493273577902 474.0 0.40176374357710304 702.0 0.595017189854697 120.0 0.10171234014610203
4.398396793587175 1380.0 1.1564751953428878 564.0 0.472646384183615 708.0 0.5933220567411337 108.0 0.09050675441813903
4.423246492985972 1272.0 1.053991394148316 636.0 0.526995697074158 534.0 0.4424775192415101 102.0 0.08451817783264798
4.44809619238477 1200.0 0.9832217709353793 498.0 0.40803703493818244 588.0 0.4817786677583359 114.0 0.09340606823886104
4.472945891783567 1266.0 1.0257735434809534 600.0 0.4861485988061391 558.0 0.4521181968897094 108.0 0.08750674778510503
4.497795591182364 1200.0 0.9615536920882812 498.0 0.39904478221663675 582.0 0.4663535406628165 120.0 0.09615536920882813
4.5226452905811625 1272.0 1.0080465114139256 534.0 0.4231893373388651 600.0 0.47549363745939893 138.0 0.10936353661566175
4.54749498997996 1326.0 1.039356453300496 558.0 0.43737624505405487 582.0 0.45618812656175617 186.0 0.14579208168468494
4.572344689378758 1302.0 1.0094518058244097 600.0 0.46518516397438237 540.0 0.41866664757694416 162.0 0.12559999427308324
4.597194388777555 1314.0 1.0077420438807738 678.0 0.5199764883951026 504.0 0.3865311949131735 132.0 0.10123436057249782
4.622044088176352 1374.0 1.0424270445318615 696.0 0.5280416470117727 546.0 0.4142395679144079 132.0 0.10014582960568102
