#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
    1160  -11240.078868       0.062974     188.922816  -11051.156051       0.153388     -0.000000     -0.000000      0.000000      0.153388    -18.606800     -0.000000      0.000000
    1170  -11239.750618       0.063074     189.221335  -11050.529283       0.153379     -0.000000     -0.000000      0.000000      0.153379    -18.594800     -0.000000      0.000000
    1180  -11241.223256       0.063565     190.693957  -11050.529299       0.153356     -0.000000     -0.000000      0.000000      0.153356    -18.582800     -0.000000      0.000000
    1190  -11243.225313       0.064441     193.321614  -11049.903699       0.153319     -0.000000     -0.000000      0.000000      0.153319    -18.570800     -0.000000      0.000000
    1200  -11246.949509       0.065682     197.045760  -11049.903749       0.153267     -0.000000     -0.000000      0.000000      0.153267    -18.558800     -0.000000      0.000000
    1210  -11251.066879       0.067263     201.788602  -11049.278277       0.153202     -0.000000     -0.000000      0.000000      0.153202    -18.546800     -0.000000      0.000000
    1220  -11256.725763       0.069149     207.447410  -11049.278353       0.153123     -0.000000     -0.000000      0.000000      0.153123    -18.534800     -0.000000      0.000000
    1230  -11263.182100       0.071301     213.903661  -11049.278439       0.153031     -0.000000     -0.000000      0.000000      0.153031    -18.522800     -0.000000      0.000000
    1240  -11270.302122       0.073675     221.023589  -11049.278534       0.152926     -0.000000     -0.000000      0.000000      0.152926    -18.510800     -0.000000      0.000000
    1250  -11277.938266       0.076220     228.659629  -11049.278637       0.152809     -0.000000     -0.000000      0.000000      0.152809    -18.498800     -0.000000      0.000000
    1260  -11285.930727       0.078884     236.651980  -11049.278748       0.152681     -0.000000     -0.000000      0.000000      0.152681    -18.486800     -0.000000      0.000000
    1270  -11294.110523       0.081611     244.831661  -11049.278862       0.152541     -0.000000     -0.000000      0.000000      0.152541    -18.474800     -0.000000      0.000000
    1280  -11302.304458       0.084342     253.025482  -11049.278976       0.152390     -0.000000     -0.000000      0.000000      0.152390    -18.462800     -0.000000      0.000000
    1290  -11310.340565       0.087020     261.061476  -11049.279089       0.152230     -0.000000     -0.000000      0.000000      0.152230    -18.450800     -0.000000      0.000000
    1300  -11318.051278       0.089591     268.772078  -11049.279200       0.152061     -0.000000     -0.000000      0.000000      0.152061    -18.438800     -0.000000      0.000000
    1310  -11325.590257       0.091998     275.995361  -11049.594896       0.151883     -0.000000     -0.000000      0.000000      0.151883    -18.426800     -0.000000      0.000000
    1320  -11332.160665       0.094189     282.565653  -11049.595013       0.151698     -0.000000     -0.000000      0.000000      0.151698    -18.414800     -0.000000      0.000000
    1330  -11338.232979       0.096106     288.318425  -11049.914554       0.151507     -0.000000     -0.000000      0.000000      0.151507    -18.402800     -0.000000      0.000000
    1340  -11343.000935       0.097695     293.086271  -11049.914664       0.151311     -0.000000     -0.000000      0.000000      0.151311    -18.390800     -0.000000      0.000000
    1350  -11347.282223       0.098910     296.730110  -11050.552112       0.151110     -0.000000     -0.000000      0.000000      0.151110    -18.378800     -0.000000      0.000000
    1360  -11349.667508       0.099705     299.115324  -11050.552184       0.150907     -0.000000     -0.000000      0.000000      0.150907    -18.366800     -0.000000      0.000000
    1370  -11352.037807       0.100062     300.187044  -11051.850763       0.150702     -0.000000     -0.000000      0.000000      0.150702    -18.354800     -0.000000      0.000000
    1380  -11351.718382       0.099956     299.867593  -11051.850789       0.150496     -0.000000     -0.000000      0.000000      0.150496    -18.342800     -0.000000      0.000000
    1390  -11352.704806       0.099406     298.219340  -11054.485466       0.150291     -0.000000     -0.000000      0.000000      0.150291    -18.330800     -0.000000      0.000000
    1400  -11349.680027       0.098398     295.194573  -11054.485454       0.150089     -0.000000     -0.000000      0.000000      0.150089    -18.318800     -0.000000      0.000000
    1410  -11346.595680       0.096948     290.842617  -11055.753063       0.149891     -0.000000     -0.000000      0.000000      0.149891    -18.306800     -0.000000      0.000000
    1420  -11340.985021       0.095077     285.232017  -11055.753004       0.149698     -0.000000     -0.000000      0.000000      0.149698    -18.294800     -0.000000      0.000000
    1430  -11336.168582       0.092832     278.496965  -11057.671617       0.149511     -0.000000     -0.000000      0.000000      0.149511    -18.282800     -0.000000      0.000000
    1440  -11328.463419       0.090264     270.791923  -11057.671496       0.149333     -0.000000     -0.000000      0.000000      0.149333    -18.270800     -0.000000      0.000000
    1450  -11320.004081       0.087444     262.332736  -11057.671344       0.149165     -0.000000     -0.000000      0.000000      0.149165    -18.258800     -0.000000      0.000000
    1460  -11311.051632       0.084460     253.380458  -11057.671174       0.149008     -0.000000     -0.000000      0.000000      0.149008    -18.246800     -0.000000      0.000000
    1470  -11301.897233       0.081409     244.226244  -11057.670989       0.148864     -0.000000     -0.000000      0.000000      0.148864    -18.234800     -0.000000      0.000000
    1480  -11292.853032       0.078394     235.182241  -11057.670791       0.148733     -0.000000     -0.000000      0.000000      0.148733    -18.222800     -0.000000      0.000000
    1490  -11284.247530       0.075526     226.576938  -11057.670592       0.148618     -0.000000     -0.000000      0.000000      0.148618    -18.210800     -0.000000      0.000000
    1500  -11276.408322       0.072913     218.737911  -11057.670412       0.148518     -0.000000     -0.000000      0.000000      0.148518    -18.198800     -0.000000      0.000000
    1510  -11269.631479       0.070654     211.961214  -11057.670265       0.148436     -0.000000     -0.000000      0.000000      0.148436    -18.186800     -0.000000      0.000000
    1520  -11264.159241       0.068830     206.489087  -11057.670154       0.148372     -0.000000     -0.000000      0.000000      0.148372    -18.174800     -0.000000      0.000000
    1530  -11260.174332       0.067501     202.504250  -11057.670082       0.148326     -0.000000     -0.000000      0.000000      0.148326    -18.162800     -0.000000      0.000000
    1540  -11257.795524       0.066708     200.125470  -11057.670054       0.148299     -0.000000     -0.000000      0.000000      0.148299    -18.150800     -0.000000      0.000000
    1550  -11257.069592       0.066467     199.399524  -11057.670068       0.148290     -0.000000     -0.000000      0.000000      0.148290    -18.138800     -0.000000      0.000000
    1560  -11257.976952       0.066769     200.306845  -11057.670107       0.148301     -0.000000     -0.000000      0.000000      0.148301    -18.126800     -0.000000      0.000000
    1570  -11260.455516       0.067595     202.785357  -11057.670159       0.148330     -0.000000     -0.000000      0.000000      0.148330    -18.114800     -0.000000      0.000000
    1580  -11264.418082       0.068916     206.747851  -11057.670230       0.148378     -0.000000     -0.000000      0.000000      0.148378    -18.102800     -0.000000      0.000000
    1590  -11269.745651       0.070692     212.075320  -11057.670331       0.148444     -0.000000     -0.000000      0.000000      0.148444    -18.090800     -0.000000      0.000000
    1600  -11276.272710       0.072867     218.602250  -11057.670461       0.148527     -0.000000     -0.000000      0.000000      0.148527    -18.078800     -0.000000      0.000000
    1610  -11281.936798       0.075382     226.145056  -11055.791741       0.148626     -0.000000     -0.000000      0.000000      0.148626    -18.066800     -0.000000      0.000000
    1620  -11290.224014       0.078144     234.432107  -11055.791906       0.148741     -0.000000     -0.000000      0.000000      0.148741    -18.054800     -0.000000      0.000000
    1630  -11297.769028       0.081070     243.210572  -11054.558456       0.148871     -0.000000     -0.000000      0.000000      0.148871    -18.042800     -0.000000      0.000000
