#  Steps           Epot           Temp           Ekin           Etot        Coord0A       Coord1A       Coord2A       Coord0B       Coord1B       Coord2B
    1290  -12733.670483       0.062070     186.209958  -12547.460525      -0.000282     -0.000000      0.000037    -13.450518      0.000000     -0.000037
    1300  -12733.234051       0.061925     185.773529  -12547.460522      -0.000311     -0.000000      0.000040    -13.438489      0.000000     -0.000040
    1310  -12732.765683       0.061768     185.305170  -12547.460512      -0.000343     -0.000000      0.000044    -13.426457      0.000000     -0.000044
    1320  -12732.282550       0.061607     184.822052  -12547.460498      -0.000376     -0.000000      0.000048    -13.414424      0.000000     -0.000048
    1330  -12731.804680       0.061448     184.344201  -12547.460479      -0.000412     -0.000000      0.000052    -13.402388      0.000000     -0.000052
    1340  -12731.354332       0.061298     183.893865  -12547.460467      -0.000451     -0.000000      0.000057    -13.390349      0.000000     -0.000057
    1350  -12730.951158       0.061164     183.490699  -12547.460459      -0.000492     -0.000000      0.000062    -13.378308      0.000000     -0.000062
    1360  -12730.610085       0.061050     183.149636  -12547.460449      -0.000535     -0.000000      0.000067    -13.366265      0.000000     -0.000067
    1370  -12730.343430       0.060961     182.882985  -12547.460445      -0.000581     -0.000000      0.000073    -13.354219      0.000000     -0.000073
    1380  -12730.163452       0.060901     182.703009  -12547.460443      -0.000630     -0.000000      0.000079    -13.342170      0.000000     -0.000079
    1390  -12730.081484       0.060874     182.621045  -12547.460439      -0.000681     -0.000000      0.000085    -13.330119      0.000000     -0.000085
    1400  -12730.104236       0.060881     182.643799  -12547.460436      -0.000736     -0.000000      0.000092    -13.318064      0.000000     -0.000092
    1410  -12730.232511       0.060924     182.772075  -12547.460436      -0.000793     -0.000000      0.000100    -13.306007      0.000000     -0.000100
    1420  -12730.463994       0.061001     183.003555  -12547.460439      -0.000854     -0.000000      0.000107    -13.293946      0.000000     -0.000107
    1430  -12730.795206       0.061112     183.334765  -12547.460441      -0.000918     -0.000000      0.000116    -13.281882      0.000000     -0.000116
    1440  -12731.220612       0.061253     183.760165  -12547.460447      -0.000986     -0.000000      0.000125    -13.269814      0.000000     -0.000125
    1450  -12731.730922       0.061423     184.270467  -12547.460455      -0.001057     -0.000000      0.000134    -13.257743      0.000000     -0.000134
    1460  -12732.312967       0.061618     184.852503  -12547.460464      -0.001132     -0.000000      0.000144    -13.245668      0.000000     -0.000144
    1470  -12732.950524       0.061830     185.490046  -12547.460478      -0.001210     -0.000000      0.000154    -13.233590      0.000000     -0.000154
    1480  -12733.625886       0.062055     186.165396  -12547.460491      -0.001293     -0.000000      0.000165    -13.221507      0.000000     -0.000165
    1490  -12734.320609       0.062287     186.860112  -12547.460497      -0.001380     -0.000000      0.000177    -13.209420      0.000000     -0.000177
    1500  -12735.017039       0.062519     187.556532  -12547.460506      -0.001472     -0.000000      0.000190    -13.197328      0.000000     -0.000190
    1510  -12735.699540       0.062746     188.239050  -12547.460490      -0.001568     -0.000000      0.000203    -13.185232      0.000000     -0.000203
    1520  -12736.353527       0.062964     188.893013  -12547.460514      -0.001669     -0.000000      0.000216    -13.173131     -0.000000     -0.000216
    1530  -12736.963557       0.063168     189.503081  -12547.460477      -0.001775      0.000000      0.000231    -13.161025     -0.000000     -0.000231
    1540  -12737.517766       0.063352     190.057257  -12547.460509      -0.001887      0.000000      0.000246    -13.148913     -0.000000     -0.000246
    1550  -12738.003714       0.063514     190.543172  -12547.460542      -0.002005      0.000000      0.000262    -13.136795     -0.000000     -0.000262
    1560  -12738.413302       0.063651     190.952785  -12547.460516      -0.002129      0.000000      0.000280    -13.124671     -0.000000     -0.000280
    1570  -12738.742799       0.063761     191.282285  -12547.460514      -0.002260      0.000000      0.000298    -13.112540     -0.000000     -0.000298
    1580  -12738.990856       0.063843     191.530336  -12547.460520      -0.002397      0.000000      0.000316    -13.100403     -0.000000     -0.000316
    1590  -12739.159462       0.063900     191.698928  -12547.460534      -0.002543      0.000000      0.000336    -13.088257     -0.000000     -0.000336
    1600  -12739.256817       0.063932     191.796213  -12547.460603      -0.002696      0.000000      0.000357    -13.076104     -0.000000     -0.000357
    1610  -12739.290490       0.063943     191.829863  -12547.460627      -0.002857      0.000000      0.000379    -13.063943     -0.000000     -0.000379
    1620  -12739.269084       0.063936     191.808436  -12547.460648      -0.003027      0.000000      0.000402    -13.051773     -0.000000     -0.000402
    1630  -12739.204807       0.063915     191.744146  -12547.460662      -0.003208      0.000000      0.000427    -13.039592     -0.000001     -0.000427
    1640  -12739.109660       0.063883     191.649073  -12547.460587      -0.003398      0.000001      0.000452    -13.027402     -0.000001     -0.000452
    1650  -12739.003693       0.063848     191.542990  -12547.460703      -0.003600      0.000001      0.000479    -13.015200     -0.000001     -0.000479
    1660  -12738.903096       0.063814     191.442352  -12547.460743      -0.003813      0.000001      0.000507    -13.002987     -0.000001     -0.000507
    1670  -12738.821457       0.063787     191.360700  -12547.460757      -0.004039      0.000001      0.000537    -12.990761     -0.000001     -0.000537
    1680  -12738.779515       0.063773     191.318831  -12547.460684      -0.004278      0.000001      0.000568    -12.978522     -0.000001     -0.000568
    1690  -12738.796250       0.063779     191.335697  -12547.460553      -0.004532      0.000001      0.000601    -12.966268     -0.000001     -0.000601
    1700  -12738.892912       0.063811     191.432349  -12547.460562      -0.004802      0.000001      0.000636    -12.953998     -0.000001     -0.000636
    1710  -12739.086832       0.063875     191.626187  -12547.460645      -0.005088      0.000001      0.000673    -12.941712     -0.000001     -0.000673
    1720  -12739.389231       0.063976     191.928566  -12547.460666      -0.005391      0.000001      0.000713    -12.929409     -0.000001     -0.000713
    1730  -12739.810269       0.064117     192.349654  -12547.460615      -0.005714      0.000001      0.000754    -12.917086     -0.000001     -0.000754
    1740  -12740.366004       0.064302     192.905282  -12547.460722      -0.006056      0.000001      0.000799    -12.904744     -0.000001     -0.000799
    1750  -12741.065501       0.064535     193.604797  -12547.460704      -0.006420      0.000001      0.000846    -12.892380     -0.000001     -0.000846
    1760  -12741.914458       0.064818     194.453711  -12547.460747      -0.006808      0.000001      0.000896    -12.879992     -0.000001     -0.000896
    1770  -12742.915654       0.065152     195.454887  -12547.460767      -0.007219      0.000001      0.000950    -12.867581     -0.000001     -0.000950
    1780  -12744.072074       0.065537     196.611384  -12547.460690      -0.007657      0.000001      0.001007    -12.855143     -0.000001     -0.001007
    1790  -12745.385768       0.065975     197.925036  -12547.460732      -0.008123      0.000001      0.001068    -12.842677     -0.000001     -0.001068
    1800  -12746.847350       0.066462     199.386525  -12547.460824      -0.008618      0.000001      0.001133    -12.830182     -0.000001     -0.001133
    1810  -12748.449394       0.066996     200.988538  -12547.460856      -0.009145      0.000001      0.001201    -12.817655     -0.000001     -0.001201
    1820  -12750.175545       0.067572     202.714606  -12547.460939      -0.009704      0.000001      0.001274    -12.805096     -0.000001     -0.001274
    1830  -12751.995359       0.068178     204.534456  -12547.460903      -0.010298      0.000001      0.001351    -12.792502     -0.000001     -0.001351
    1840  -12753.862382       0.068800     206.401428  -12547.460954      -0.010928      0.000001      0.001432    -12.779872     -0.000001     -0.001432
    1850  -12755.704292       0.069414     208.243269  -12547.461023      -0.011593      0.000000      0.001516    -12.767207     -0.000001     -0.001516
    1860  -12757.438604       0.069993     209.977595  -12547.461009      -0.012295      0.000000      0.001602    -12.754505     -0.000000     -0.001602
    1870  -12759.003271       0.070514     211.542223  -12547.461048      -0.013030      0.000000      0.001688    -12.741770     -0.000000     -0.001688
    1880  -12760.402573       0.070980     212.941484  -12547.461090      -0.013795      0.000000      0.001772    -12.729005     -0.000000     -0.001772
    1890  -12761.713524       0.071417     214.252401  -12547.461124      -0.014586      0.000000      0.001851    -12.716214     -0.000000     -0.001851
    1900  -12763.002193       0.071847     215.541066  -12547.461127      -0.015398      0.000000      0.001920    -12.703402     -0.000000     -0.001920
    1910  -12764.237733       0.072259     216.776546  -12547.461186      -0.016225     -0.000000      0.001977    -12.690575     -0.000000     -0.001977
    1920  -12765.329354       0.072623     217.868162  -12547.461193      -0.017066     -0.000000      0.002018    -12.677734      0.000000     -0.002018
    1930  -12766.290059       0.072943     218.828889  -12547.461170      -0.017917     -0.000000      0.002042    -12.664883      0.000000     -0.002042
