#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
    1610   -7257.602842       4.771949   14315.847695    7058.244853       0.201258      2.649363     -0.003707     -0.099210      0.202604     -3.317363      0.003707      0.099210
    1620   -7239.010394       4.765752   14297.256411    7058.246017       0.202090      2.691324     -0.003692     -0.100957      0.203459     -3.239324      0.003692      0.100957
    1630   -7223.655859       4.761243   14283.729357    7060.073497       0.202920      2.733376     -0.003652     -0.102712      0.204314     -3.161376      0.003652      0.102712
    1640   -7210.482943       4.756851   14270.551911    7060.068968       0.203748      2.775491     -0.003599     -0.104465      0.205169     -3.083491      0.003599      0.104465
    1650   -7186.592100       4.752157   14256.471828    7069.879728       0.204575      2.817627     -0.003556     -0.106216      0.206025     -3.005627      0.003556      0.106216
    1660   -7167.704204       4.745863   14237.587599    7069.883395       0.205401      2.859755     -0.003546     -0.107976      0.206882     -2.927755      0.003546      0.107976
    1670   -7145.679105       4.740699   14222.096461    7076.417357       0.206226      2.901868     -0.003582     -0.109749      0.207741     -2.849868      0.003582      0.109749
    1680   -7122.588198       4.733001   14199.003328    7076.415130       0.207049      2.943979     -0.003656     -0.111537      0.208601     -2.771979      0.003656      0.111537
    1690   -7091.013241       4.723537   14170.610000    7079.596759       0.207872      2.986115     -0.003751     -0.113333      0.209461     -2.694115      0.003751      0.113333
    1700   -7062.223611       4.713942   14141.827370    7079.603759       0.208694      3.028303     -0.003853     -0.115125      0.210321     -2.616303      0.003853      0.115125
    1710   -7044.778187       4.709238   14127.713320    7082.935133       0.209515      3.070570     -0.003954     -0.116916      0.211180     -2.538570      0.003954      0.116916
    1720   -7035.465589       4.706133   14118.399196    7082.933607       0.210335      3.112932     -0.004056     -0.118724      0.212038     -2.460932      0.004056      0.118724
    1730   -7032.819787       4.704974   14114.922488    7082.102702       0.211155      3.155389     -0.004164     -0.120559      0.212894     -2.383389      0.004164      0.120559
    1740   -7026.138957       4.702747   14108.239857    7082.100900       0.211975      3.197937     -0.004283     -0.122422      0.213747     -2.305937      0.004283      0.122422
    1750   -7018.574756       4.699706   14099.116771    7080.542016       0.212796      3.240579     -0.004411     -0.124299      0.214598     -2.228579      0.004411      0.124299
    1760   -7002.088210       4.694212   14082.635940    7080.547730       0.213616      3.283318     -0.004547     -0.126176      0.215446     -2.151318      0.004547      0.126176
    1770   -6987.949241       4.689844   14069.532238    7081.582997       0.214435      3.326149     -0.004694     -0.128039      0.216292     -2.074149      0.004694      0.128039
    1780   -6967.573139       4.683049   14049.145817    7081.572677       0.215254      3.369056     -0.004851     -0.129872      0.217137     -1.997056      0.004851      0.129872
    1790   -6933.470709       4.671873   14015.618136    7082.147427       0.216073      3.412019     -0.005022     -0.131656      0.217981     -1.920019      0.005022      0.131656
    1800   -6894.307899       4.658824   13976.473268    7082.165369       0.216892      3.455037     -0.005212     -0.133379      0.218826     -1.843037      0.005212      0.133379
    1810   -6873.416269       4.653708   13961.122902    7087.706633       0.217711      3.498131     -0.005423     -0.135045      0.219670     -1.766131      0.005423      0.135045
    1820   -6870.608051       4.652768   13958.304669    7087.696618       0.218529      3.541318     -0.005647     -0.136667      0.220515     -1.689318      0.005647      0.136667
    1830   -6870.606469       4.652113   13956.339422    7085.732952       0.219347      3.584601     -0.005869     -0.138255      0.221359     -1.612601      0.005869      0.138255
    1840   -6857.378318       4.647703   13943.107915    7085.729597       0.220165      3.627980     -0.006076     -0.139813      0.222203     -1.535980      0.006076      0.139813
    1850   -6836.849273       4.640003   13920.007948    7083.158675       0.220982      3.671448     -0.006273     -0.141340      0.223046     -1.459448      0.006273      0.141340
    1860   -6808.499768       4.630555   13891.664652    7083.164884       0.221799      3.715006     -0.006478     -0.142839      0.223889     -1.383006      0.006478      0.142839
    1870   -6792.059617       4.624604   13873.810693    7081.751076       0.222615      3.758663     -0.006716     -0.144316      0.224733     -1.306663      0.006716      0.144316
    1880   -6778.756782       4.620169   13860.507146    7081.750364       0.223430      3.802429     -0.007008     -0.145786      0.225576     -1.230429      0.007008      0.145786
    1890   -6777.038076       4.618710   13856.131239    7079.093163       0.224245      3.846314     -0.007371     -0.147269      0.226418     -1.154314      0.007371      0.147269
    1900   -6770.462634       4.616516   13849.547904    7079.085270       0.225060      3.890320     -0.007805     -0.148779      0.227259     -1.078320      0.007805      0.148779
